statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10,Gini Coefficient,allHouse,Own,Rent,% Houses Owned,% Houses Rented,w,b,a,h,% White,% Black,% Asian,% Hispanic
17,6104,61,Census Tract 6104,61,17031610400,,610400,31,0.374,554,183,371,0.33032491,0.66967509,48,0,0,100,0.48,0,0,1
17,6108,61,Census Tract 6108,61,17031610800,,610800,31,0.376,538,429,109,0.79739777,0.20260223,100,0,0,7.8,1,0,0,0.078
17,6110,61,Census Tract 6110,61,17031611000,,611000,31,0.442,241,78,163,0.323651452,0.676348548,6.2,71,0,12.9,0.062,0.71,0,0.129
17,6111,61,Census Tract 6111,61,17031611100,,611100,31,0.404,642,187,455,0.291277259,0.708722741,37.7,13.4,1.4,67.8,0.377,0.134,0.014,0.678
17,6112,61,Census Tract 6112,61,17031611200,,611200,31,0.315,694,296,398,0.426512968,0.573487032,34.9,35.2,1.6,53.7,0.349,0.352,0.016,0.537
17,6113,61,Census Tract 6113,61,17031611300,,611300,31,0.347,888,338,550,0.380630631,0.619369369,31.3,8.1,0,78.9,0.313,0.081,0,0.789
17,6114,61,Census Tract 6114,61,17031611400,,611400,31,0.363,1043,379,664,0.36337488,0.63662512,47.7,3.6,0,87.7,0.477,0.036,0,0.877
17,6115,61,Census Tract 6115,61,17031611500,,611500,31,0.391,1016,474,542,0.466535433,0.533464567,42.7,16,0,76.1,0.427,0.16,0,0.761
17,6116,61,Census Tract 6116,61,17031611600,,611600,31,0.423,392,204,188,0.520408163,0.479591837,16.8,69.6,0,30.4,0.168,0.696,0,0.304
17,6117,61,Census Tract 6117,61,17031611700,,611700,31,0.421,539,281,258,0.521335807,0.478664193,18.2,74.4,0,23,0.182,0.744,0,0.23
17,6118,61,Census Tract 6118,61,17031611800,,611800,31,0.424,699,207,492,0.296137339,0.703862661,16.2,71.7,0,21,0.162,0.717,0,0.21
17,6119,61,Census Tract 6119,61,17031611900,,611900,31,0.438,620,211,409,0.340322581,0.659677419,9.2,89.2,0,9.5,0.092,0.892,0,0.095
17,6120,61,Census Tract 6120,61,17031612000,,612000,31,0.42,491,276,215,0.562118126,0.437881874,0,99,0.8,0.2,0,0.99,0.008,0.002
17,6121,61,Census Tract 6121,61,17031612100,,612100,31,0.52,486,150,336,0.308641975,0.691358025,1.6,98.4,0,0,0.016,0.984,0,0
17,6201,62,Census Tract 6201,62,17031620100,,620100,31,0.357,1069,930,139,0.869971936,0.130028064,59.1,4.5,0.9,70.9,0.591,0.045,0.009,0.709
17,6202,62,Census Tract 6202,62,17031620200,,620200,31,0.393,705,389,316,0.55177305,0.44822695,57.6,1.6,3.1,50.5,0.576,0.016,0.031,0.505
