Geography,Estimate; Median year structure built
8061.04,1970
8062.01,1996
8062.02,1976
8063,1953
8064,1951
8065.01,1960
8065.02,1959
8066,1959
8067,1956
8068.01,1961
8068.02,1958
8069,1972
8070,1956
8071,1957
8072,1956
8073,1959
8074,1955
8075,1954
8076,1956
8077,1959
8078,1957
8079,1957
8080.01,1960
8080.02,1958
8081,1990
8082,1959
8083.01,1968
8083.02,1959
8084,1957
8085,1956
8086,1955
8087.02,1953
8088,1939
8089,1947
8090,1939
8091,1939
8092,1944
8093,1939
8094,1970
8095,1957
8096,1941
8097,1939
8098,1939
8099,1939
8100,1939
8101,1939
8102,1939
8103.01,1953
8103.02,1952
8104,1957
8105.01,1956
8105.02,1959
8106,1962
8107.01,1953
8107.02,1960
8108,1939
8109,1953
8110,1954
8111,1963
8112,1954
8113.01,1956
8113.02,1959
8114.01,1955
8114.02,1954
8115,1955
8116,1965
8117.01,1961
8117.02,1959
8118,1955
8119,1948
8120,1939
8121,1939
8122,1939
8123.01,1955
8123.02,1939
8124,1939
8125,1939
8126,1939
8127,1939
8128.01,1953
8128.02,1939
8129,1939
8130,1939
8131,1939
8132,1939
8133.01,1939
8133.02,1939
8134,1939
8135,1939
8136,1939
8137.01,1939
8137.02,1939
8138.01,1939
8138.02,1939
8139,1939
8140,1939
8141,1939
8142,1939
8143,1946
8144,1950
8145,1952
8146,1939
8147,1939
8148,1939
8149,1939
8150,1939
8151,1939
8152,1939
8153,1939
8154,1944
8155,1949
8156,1955
8157.01,1940
8157.02,1939
8158,1945
8159,1965
8160,1939
8161,1950
8162,1957
8163,1955
8164.01,1939
8164.02,1947
8165,1966
8166,1963
8167,1954
8168,1958
8169,1956
8170,1953
8171.01,1957
8171.02,1954
8172,1946
8173,1939
8174,1939
8175,1947
8176,1947
8177,1943
8179,1954
8180,1954
8181,1954
8182,1953
8183,1956
8184.01,1956
8184.02,1958
8185,1967
8186,1957
8187,1952
8188,1942
8189,1955
8190,1943
8191,1958
8192,1955
8193,1939
8194,1964
8195,1953
8196,1944
8197,1947
8198.01,1942
8198.02,1961
8199,1956
8200,1965
8201.01,1975
8201.03,1966
8201.04,1965
8202.01,1981
8202.02,1977
8203,1953
8204,1944
8205.01,1962
8205.02,1973
8206.03,1982
8206.04,1973
8206.05,1972
8206.06,1975
8207,1956
8208,1957
8209.01,1969
8209.02,1963
8210.01,1966
8210.02,1961
8211.01,1960
8211.02,1961
8212,1953
8213,1955
8214.01,1959
8214.02,1959
8215,1961
8216,1954
8217,1954
8218,1952
8219,1956
8220,1955
8221.01,1955
8221.02,1974
8222,1956
8223.01,1962
8223.02,1971
8224,1974
8225,1960
8226.01,1958
8226.02,1975
8227.01,1964
8227.02,1966
8228.01,1968
8228.02,1960
8229,1959
8230.01,1975
8230.02,1962
8231.01,1965
8231.02,1960
8232,1983
8233.02,1974
8233.03,1965
8233.04,1964
8234,1949
8235,1944
8236.02,1976
8236.03,1955
8236.04,1966
8236.05,1972
8237.02,1976
8237.03,1979
8237.04,1967
8237.05,1971
8238.01,1984
8238.03,1978
8238.05,1976
8238.06,1963
8239.01,1984
8239.03,1970
8239.04,1975
8240.03,1983
8240.04,1990
8240.05,1991
8240.06,1995
8241.05,1980
8241.06,1984
8241.07,1979
8241.08,1985
8241.13,1993
8241.14,1985
8241.15,1979
8241.16,1977
8241.17,1995
8241.19,
8241.2,1996
8241.21,1985
8241.22,1988
8241.23,1976
8243,1963
8244,1981
8245.03,1976
8245.05,1973
8245.06,1975
8245.07,1973
8246.01,1970
8246.02,1972
8247.01,1965
8247.02,1961
8248,1975
8249,1968
8250,1970
8252,1967
8253.02,1976
8253.03,1958
8253.04,1980
8254,1975
8255.01,1970
8255.03,1965
8255.04,1975
8255.05,1976
8256,1958
8257,1964
8258.01,1974
8258.02,1970
8258.03,1973
8259,1959
8260,1952
8261,1954
8262.01,1975
8262.02,1957
8263.01,1964
8263.03,1966
8263.04,1966
8264.01,1961
8264.02,1964
8265,1963
8266,1957
8267,1956
8268,1968
8269.01,1953
8269.02,1957
8270,1957
8271,1957
8272,1956
8273,1939
8274,1963
8275,1962
8276,1962
8277,1951
8278.01,1966
8278.02,1962
8278.04,1966
8278.05,1968
8279.01,1978
8279.02,1962
8280,1959
8281,1955
8282.01,1964
8282.02,1970
8283,1959
8284.01,1952
8284.02,1973
8285.03,1973
8285.04,1967
8285.05,1973
8285.06,1983
8286.01,1955
8286.02,1967
8287.01,1967
8287.02,1972
8288.01,1960
8288.02,1957
8289,1949
8290,1953
8291,1939
8292,1948
8293.01,1961
8293.02,1963
8294.01,1969
8294.02,1953
8295,1957
8296,1963
8297,1964
8298,1961
8299.01,1990
8299.02,1982
8300.01,1985
8300.03,1982
8300.04,1979
8300.05,1978
8300.06,1970
8300.07,1979
8300.08,1979
8301,1962
8302.01,1975
8302.02,1957
8303,1955
8304,1955
8305,1939
8306,1939
8307,1961
8308,1939
8309,1939
8310,1939
8311,1939
8312,1939
8313,1950
8314,1941
8315,1956
8316,1948
8317,1939
8318,1939
8319,1939
8320,1949
8321,1949
8322,1939
8323,1939
8324,1939
8325,1968
8326,1976
8329,1957
8330,1969
8331,2000
8333,1961
8339,1939
8340,1946
8342,1939
8343,1942
8344,1952
8345,1939
8346,1942
8347,1946
8348,1941
8349,1939
8350,1950
8351,1939
8352,1953
8355,1962
8356,1939
8357,
8358,1945
8359,1971
8360,1939
8361,1948
8362,1939
8363,1939
8364,1992
8365,1976
8366,1939
8367,1939
8368,1939
8369,1939
8370,1939
8371,1939
8373,1939
8374,1939
8378,1994
8380,1970
8381,1957
8382,1951
8383,1971
8386,1939
8387,1939
8388,1939
8390,1977
8391,1939
8392,1969
8395,1960
8396,1945
8397,1939
8398,1939
8399,1939
8400,1959
8401,1939
8402,1939
8403,1954
8404,1939
8407,1939
8408,1939
8410,1959
8411,1978
8412,1939
8413,1939
8414,1942
8415,1939
8416,1939
8417,1951
8418,1939
8419,1979
8420,1973
8421,1939
8422,1992
8423,1976
8424,1950
8425,1952
8426,1939
8428,1939
8429,1955
8430,1939
8431,1939
8432,1939
8433,1947
8434,1939
8435,1939
8436,1939
8437,1939
8438,1939
8439,1954
